id,code,section,parameter_name,unit,source_pd,source_rd,source_id,trigger_logic,review_priority,legal_criticality,data_type,is_active
1,PZ-001,ПЗ,Площадь застройки,м²,Раздел ПЗУ: Таблица ТЭП,"Раздел ПП (ГП): Лист ""Общие данные"", Таблица ТЭП",Технический план БТИ; Акт выноса осей,Расхождение контуров здания на генплане с данными БТИ или РД > 0.,HIGH,Критическое (приостановка работ),number,TRUE
2,PZ-002,ПЗ,Общая площадь здания,м²,Раздел ПЗ: Таблица ТЭП (текстовая часть),"Раздел АР: Лист ""Общие данные"", Сводная экспликация",Технический план БТИ; ЗОС,Дельта общей площади между ПД и РД (или ИД) > 1%.,HIGH,Критическое (приостановка работ),number,TRUE
3,PZ-003,ПЗ,Полезная / Расчетная площадь,м²,Раздел ПЗ: Таблица ТЭП,Раздел АР: Сводная экспликация помещений,Технический план БТИ,Сокращение полезной площади в РД в пользу технических зон.,MEDIUM,Существенное (предписание),number,TRUE
4,PZ-004,ПЗ,Строительный объем (Общий),м³,Раздел ПЗ: Таблица ТЭП,"Раздел АР/КР: Лист ""Общие данные"", Таблица ТЭП",Технический план БТИ; ЗОС,Изменение внешних объемных габаритов здания в РД без корректировки ПД.,HIGH,Критическое (приостановка работ),number,TRUE
5,PZ-005,ПЗ,Строительный объем (Подземный),м³,Раздел ПЗ: Таблица ТЭП,Раздел КК/АР: ТЭП подземной части,Технический план БТИ,Изменение глубины заложения или объема паркинга/подвала в РД.,HIGH,Критическое (приостановка работ),number,TRUE
6,PZ-006,ПЗ,Строительный объем (Надземный),м³,Раздел ПЗ: Таблица ТЭП,Раздел АР/КР: Чертежи фасадов и разрезов,Разрешение на ввод; ЗОС,Изменение общего числа этажей (включая технический) в РД.,HIGH,Критическое (приостановка работ),number,TRUE
7,PZ-007,ПЗ,Этажность (надземная),ед.,Раздел ПЗ: Таблица ТЭП,"Раздел АР: Заглавные листы, чертежи фасадов",Разрешение на ввод; Технический план БТИ,Несовпадение количества надземных этажей в РД с утвержденной ПД.,HIGH,Критическое (приостановка работ),number,TRUE
8,PZ-008,ПЗ,Высота здания,м,Раздел ПЗ: Таблица ТЭП (высотная отметка),"Раздел АР: Чертежи фасадов, разрезы",Исполнительная геодезическая съемка фасада,Увеличение высоты здания в РД (риск нарушения ограничений приаэродромных зон).,HIGH,Критическое (приостановка работ),number,TRUE
9,PZ-009,ПЗ,Абсолютная отметка 0.000,м,Раздел ПЗ: Текст (геоподоснова),Раздел АР/КР: Чертежи (отметка на разрезах),Исполнительная геодезическая схема,Несоответствие абсолютной отметки нуля на чертежах РД геоподоснове ПД.,HIGH,Критическое (приостановка работ),number,TRUE
10,PZ-010,ПЗ,Количество квартир,шт.,"Раздел ПЗ: Таблица ТЭП; Текст ""Жилищная часть""",Раздел АР: Сводная экспликация квартир,Технический план БТИ (план помещений),Изменение общего количества жилых единиц (перепланировка в РД).,HIGH,Критическое (приостановка работ),number,TRUE
11,PZ-011,ПЗ,Квартирография,шт.,Раздел ПЗ: Текст (состав квартир),Раздел АР: Сводная экспликация квартир,Технический план БТИ,"Изменение пропорций (например, замена 3-комнатной на две студии).",HIGH,Критическое (приостановка работ),number,TRUE
12,PZ-012,ПЗ,Количество машино-мест (подземных),шт.,Раздел ПЗ: Таблица ТЭП (паркинг),Раздел АР: План расстановки авто в паркинге,Исполнительная схема разметки паркинга; Техплан БТИ,Сокращение количества машино-мест в РД (нарушение местных нормативов).,HIGH,Критическое (приостановка работ),number,TRUE
13,PZ-013,ПЗ,Технологическая мощность / Вместимость,ед.,Раздел ПЗ: Текст (ТХ),"Раздел ТХ: Лист ""Общие данные""; Спецификация оборудования",Акт приемки оборудования; Акт ПНР,Снижение мощности (выпуск продукции в год) или вместимости (школа/детсад).,HIGH,Критическое (приостановка работ),enum,TRUE
14,PZ-014,ПЗ,Расчетная электрическая мощность,кВт,Раздел ПЗ: Текст (ТУ); Таблица нагрузок,"Раздел ЭОМ: Лист ""Общие данные"", Расчетные таблицы",Акт техприсоединения; Акт допуска Ростехнадзора,"Превышение расчетной мощности в РД над лимитом ТУ, выданным в ПД.",HIGH,Критическое (приостановка работ),number,TRUE
15,PZ-015,ПЗ,Категория надежности электроснабжения,Кат.,Раздел ПЗ: Текст (Требования к надежности),Раздел ЭОМ: Принципиальная схема ВРУ/ГРЩ,Акт допуска Ростехнадзора,"Снижение категории (например, перевод ИТП с 1-й на 2-ю категорию).",HIGH,Критическое (приостановка работ),enum,TRUE
16,PZ-016,ПЗ,Суточный расход водопотребления,м³/сут,Раздел ПЗ: Баланс водопотребления,"Раздел ВК: Лист ""Общие данные"", Таблица расходов",Договор ХВС/ГВС (лимиты),"Выход расчетного расхода в РД за объемы, утвержденные экспертизой в ПД.",HIGH,Критическое (приостановка работ),number,TRUE
17,PZ-017,ПЗ,Суммарная тепловая нагрузка,Гкал/ч,Раздел ПЗ: Текст (ТУ теплосети),"Раздел ОВ: Лист ""Общие данные"", Таблица нагрузок",Акт готовности систем; Договор теплоснабжения,Превышение суммарной тепловой нагрузки в спецификациях и таблицах РД.,HIGH,Критическое (приостановка работ),number,TRUE
18,PZ-018,ПЗ,Максимальный часовой расход газа,м³/ч,Раздел ПЗ: Текст (ТУ газа),"Раздел ГСВ: Лист ""Общие данные""; Схема ГРП/Ш",Акт приемки газопровода; Договор поставки газа,"Увеличение потребления газа в РД выше лимита, одобренного в ПД.",HIGH,Критическое (приостановка работ),number,TRUE
19,PZ-019,ПЗ,Коэффициент застройки (КЗ),%,Раздел ПЗ: Таблица ТЭП земельного участка,"Раздел ПП (ГП): Лист ""Общие данные"", Таблица ТЭП",Справка о ТЭП для ввода в эксплуатацию,"Превышение КЗ над предельным значением, утвержденным в ПД.",HIGH,Критическое (приостановка работ),number,TRUE
20,PZ-020,ПЗ,Коэффициент использования территории (КИТ),%,Раздел ПЗ: Таблица ТЭП земельного участка,"Раздел ПП (ГП): Лист ""Общие данные"", Таблица ТЭП",Справка о ТЭП для ввода в эксплуатацию,"Выход за нормативные рамки плотности, утвержденные в ПД.",HIGH,Критическое (приостановка работ),number,TRUE
21,PZ-021,ПЗ,Класс энергетической эффективности,Буква,"Раздел ПЗ: Текст ""Энергоэффективность""","Раздел АР/ОВ: Требования в ""Общих данных""",Энергетический паспорт (фактический по замерам),Снижение класса энергоэффективности в РД/ИД относительно ПД.,HIGH,Критическое (приостановка работ),enum,TRUE
22,PZ-022,ПЗ,Степень огнестойкости здания,Степень,Раздел ПЗ: Противопожарные характеристики,"Раздел АР/КР: Лист ""Общие данные"" (маркировка)",Заключение ГПН (МЧС),"Снижение степени огнестойкости (например, с I на II) в РД.",HIGH,Критическое (приостановка работ),enum,TRUE
23,PZ-023,ПЗ,Класс конструктивной пожарной опасности,"Класс (С0, С1)",Раздел ПЗ: Противопожарные характеристики,"Раздел АР/КР: Лист ""Общие данные"" (маркировка)",Заключение ГПН (МЧС),"Снижение класса пожарной опасности (например, с С0 на С1) в РД.",HIGH,Критическое (приостановка работ),enum,TRUE
24,SPZU-024,СПЗУ,Объем грунта (выемка/насыпь),м³,Ведомость объемов работ (СПЗУ),Раздел ПП: План земляных масс; Ведомость выемки,Журнал учета транспорта; Накладные на вывоз/завоз,Дельта объемов выемки и обратной засыпки между стадиями > 5%.,MEDIUM,Существенное (предписание),number,TRUE
25,SPZU-025,СПЗУ,Площадь асфальтобетонного покрытия,м²,"Ведомость проездов, тротуаров и площадок (СПЗУ)",План благоустройства; Ведомость покрытий (ПП),Исполнительная схема покрытий; Акты АОСР,Увеличение или уменьшение площади твердых покрытий > 5%.,MEDIUM,Существенное (предписание),number,TRUE
26,SPZU-026,СПЗУ,Площадь тротуарного плиточного покрытия,м²,"Ведомость проездов, тротуаров и площадок (СПЗУ)",План благоустройства; Ведомость покрытий (ПП),Исполнительная схема покрытий; Акты АОСР,Изменение объемов мощения без согласования заказчика.,MEDIUM,Существенное (предписание),number,TRUE
27,SPZU-027,СПЗУ,Площадь озеленения и газонов,м²,"Ведомость проездов, тротуаров и площадок (СПЗУ)",План благоустройства; Ведомость озеленения (ПП),Исполнительная схема благоустройства; Акты приемки,Сокращение площади озеленения в РД/ИД ниже минимальных требований ГПЗУ.,HIGH,Критическое (приостановка работ),number,TRUE
28,SPZU-028,СПЗУ,Площадь детских и спортивных площадок,м²,Текст СПЗУ; Схема благоустройства,План благоустройства; Спецификация МАФ (ПП),Исполнительная схема благоустройства,Уменьшение нормативной площади площадок отдыха/спорта в РД.,HIGH,Критическое (приостановка работ),number,TRUE
29,SPZU-029,СПЗУ,Спецификация МАФ,шт. / компл.,Ведомость МАФ (СПЗУ),Спецификация оборудования благоустройства (ПП),Паспорта качества; Сертификаты на установленные МАФ,Сокращение позиций МАФ; подмена на аналоги низкого качества.,MEDIUM,Существенное (предписание),number,TRUE
30,SPZU-030,СПЗУ,Ширина внутриплощадочных дорог и проездов,м,План проездов; Линейные размеры (СПЗУ),План благоустройства; Полосы проезжей части (ПП),Исполнительная схема покрытий (фактические обмеры),Ширина пожарного проезда в РД или в натуре (ИД) менее 4.2 м.,HIGH,Критическое (приостановка работ),number,TRUE
31,SPZU-031,СПЗУ,Радиусы поворота дорог и пожарных проездов,м,План проездов; Радиусы закруглений (СПЗУ),Разбивочный план проездов (ПП),Исполнительная геодезическая схема,Уменьшение радиуса поворота пожарной техники < 10-12 м (норматив).,HIGH,Критическое (приостановка работ),number,TRUE
32,SPZU-032,СПЗУ,Конструкция дорожной одежды,мм (слои),Текст СПЗУ; Типовые поперечные разрезы,Детальные разрезы и узлы; Спецификация (ПП),"Акты АОСР на устройство слоев (песок, щебень, асфальт)",Исключение слоев или уменьшение толщины асфальта/щебня в РД и ИД.,HIGH,Критическое (приостановка работ),number,TRUE
33,SPZU-033,СПЗУ,Уклоны дорог и проездов,‰,План организации рельефа (СПЗУ),План организации рельефа; Проектные уклоны (ПП),Исполнительная геодезическая схема (высотные отметки),"Нарушение уклонов, ведущее к застою воды или превышению крутизны.",MEDIUM,Существенное (предписание),number,TRUE
34,SPZU-034,СПЗУ,Точки и координаты подключения внешних сетей,Коорд.,Сводный план инженерных сетей (СПЗУ),Наружные сети (НВК/НТС); Разбивочные чертежи,Исполнительная геодезическая схема до точки врезки,Смещение точки подключения наружной сети относительно ТУ и ПД > 0.5 м.,HIGH,Критическое (приостановка работ),exact_field,TRUE
35,SPZU-035,СПЗУ,Охранные зоны существующих коммуникаций,—,Ситуационный план; Сводный план с границами (СПЗУ),Планы прокладки трасс; Посадка зданий (ПП),Исполнительная разбивка осей зданий и сетей,"Посадка временных зданий, кранов или сетей в охранную зону.",HIGH,Критическое (приостановка работ),exact_field,TRUE
36,SPZU-036,СПЗУ,Тип и высотные параметры ограждения территории,м,Текст СПЗУ; Чертежи элементов ограждения,Рабочие чертежи заборов/ворот; Спецификация (АР/ПП),Акты АОСР на монтаж; Паспорта конструкций,"Замена типа ограждения (например, шумозащита на сетку); занижение высоты.",MEDIUM,Существенное (предписание),enum,TRUE
37,SPZU-037,СПЗУ,Количество и разметка парковочных мест на участке,шт.,Схема планировочной организации (СПЗУ),План благоустройства; Разметка автостоянок (ПП),Исполнительная схема дорожной разметки,Сокращение количества наземных парковочных мест в РД.,HIGH,Критическое (приостановка работ),number,TRUE
38,SPZU-038,СПЗУ,Количество парковочных мест для МГН на участке,шт.,Схема парковочных зон (СПЗУ/ОДИ),План благоустройства; Знаки и разметка (ПП),Исполнительная схема разметки; Акты установки знаков,Отсутствие или уменьшение доли мест для МГН (< 10% от общего числа).,HIGH,Критическое (приостановка работ),presence,TRUE
39,SPZU-039,СПЗУ,Мероприятия по инженерной подготовке (дренажи),—,Схема инженерной подготовки (СПЗУ),Схемы дождевой канализации; Дренажные системы (НВК),Акты АОСР на устройство дренажа; Исполнительные схемы,Исключение из РД открытых лотков или закрытых систем пристенного дренажа.,HIGH,Критическое (приостановка работ),exact_field,TRUE
40,AR-040,АР,Ширина магистральных эвакуационных коридоров,м,Планы этажей; Схемы путей эвакуации (АР),Кладочные планы; Линейные размеры (АР),Исполнительная схема поэтажных планов (обмеры после отделки),Снижение ширины коридора в РД/ИД менее 1.2 м (СП 1.13130).,HIGH,Критическое (приостановка работ),number,TRUE
